City,SeverityProportion,Amenity
Los Angeles,0.006316228,0
Atlanta,0.006099246,0
Dallas,0.006064505,0
Houston,0.005412506,0
Chicago,0.003298480,0
Miami,0.003073661,0
Jacksonville,0.002874926,0
Denver,0.002238426,0
Minneapolis,0.002193158,0
San Diego,0.002147363,0
Nashville,0.001964478,0
Saint Louis,0.001940031,0
Detroit,0.001862011,0
Phoenix,0.001791653,0
Bronx,0.001702813,0
Saint Paul,0.001696672,0
Columbus,0.001662984,0
Louisville,0.001662633,0
Fort Worth,0.001639941,0
San Antonio,0.001634268,0
Seattle,0.001624325,0
Indianapolis,0.001616137,0
Kansas City,0.001609002,0
Austin,0.001596720,0
Fort Lauderdale,0.001545369,0
Raleigh,0.001523320,0
Oakland,0.001514723,0
Charlotte,0.001421438,0
Richmond,0.001419332,0
Tampa,0.001400500,0
Columbia,0.001365643,0
Orlando,0.001306338,0
Sacramento,0.001260895,0
Philadelphia,0.001259959,0
Long Beach,0.001214281,0
Baton Rouge,0.001197028,0
San Jose,0.001183050,0
Birmingham,0.001099123,0
Brooklyn,0.001046895,0
Cincinnati,0.001010049,0
